DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,Id,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,Year,YearText,WashingtoniansAffectedRange,BreachLifecycleRange,DaysToContainBreach,DaysToIdentifyBreach,DaysBreachLifecycle,DiscoveredInProgress,DaysOfExposure,DaysElapsedBetweenEndAndDiscovery,EndedOnDayDiscovered,DaysElapsedBeforeNotification,DaysOfExposureRange
03/28/2018 12:00:00 AM,04/11/2018 12:00:00 AM,Cyberattack,09/26/2017 12:00:00 AM,10/12/2017 12:00:00 AM,Delta Airlines,9561,Malware,24563,Business,Software,2018,2018,"10,000-49,999",100-199,0,183,183,false,16,167,false,14,1-99
03/28/2018 12:00:00 AM,04/13/2018 12:00:00 AM,Cyberattack,09/26/2017 12:00:00 AM,10/12/2017 12:00:00 AM,"Best Buy Co, Inc.",9562,Malware,8390,Business,Retail,2018,2018,"1,000-9,999",100-199,0,183,183,false,16,167,false,16,1-99
03/14/2018 12:00:00 AM,04/13/2018 12:00:00 AM,Unauthorized Access,,,Inogen Inc.,9563,,518,Health,,2018,2018,500-999,Unknown,,,,false,,,false,30,Unknown
03/15/2018 12:00:00 AM,04/24/2018 12:00:00 AM,Cyberattack,09/27/2017 12:00:00 AM,10/12/2017 12:00:00 AM,Sears Holdings,9565,Malware,2373,Business,Retail,2018,2018,"1,000-9,999",100-199,0,169,169,false,15,154,false,40,1-99
03/29/2018 12:00:00 AM,04/26/2018 12:00:00 AM,Cyberattack,07/01/2017 12:00:00 AM,03/31/2018 12:00:00 AM,Hudson's Bay Company,9566,Malware,,Business,Retail,2018,2018,Unknown,200-299,2,271,273,true,273,,false,28,200-299
02/16/2018 12:00:00 AM,04/30/2018 12:00:00 AM,Cyberattack,11/29/2017 12:00:00 AM,02/16/2018 12:00:00 AM,Rail Europe North America,9567,,687,Business,Transportation,2018,2018,500-999,1-99,0,79,79,true,79,,true,73,1-99
03/19/2018 12:00:00 AM,05/03/2018 12:00:00 AM,Cyberattack,10/01/2017 12:00:00 AM,12/22/2017 12:00:00 AM,Alaska Airlines,9569,,1442,Business,Transportation,2018,2018,"1,000-9,999",100-199,0,169,169,false,82,87,false,45,1-99
02/01/2018 12:00:00 AM,05/08/2018 12:00:00 AM,Theft or Mistake,12/31/2017 12:00:00 AM,01/31/2018 12:00:00 AM,Global University,9570,,5679,Education,,2018,2018,"1,000-9,999",1-99,0,32,32,false,31,1,false,96,1-99
04/21/2018 12:00:00 AM,05/09/2018 12:00:00 AM,Theft or Mistake,,,H&R Block,9571,,2655,Finance,,2018,2018,"1,000-9,999",Unknown,,,,false,,,false,18,Unknown
04/12/2018 12:00:00 AM,05/09/2018 12:00:00 AM,Unauthorized Access,,,"TaskRabbit, Inc.",9572,,77618,Business,Home,2018,2018,"50,000-999,999",Unknown,,,,false,,,false,27,Unknown
04/05/2018 12:00:00 AM,05/17/2018 12:00:00 AM,Cyberattack,11/25/2017 12:00:00 AM,11/25/2017 12:00:00 AM,Corporation Service Company,9573,,4631,Business,Legal,2018,2018,"1,000-9,999",100-199,0,131,131,false,0,131,false,42,0
05/11/2018 12:00:00 AM,05/18/2018 12:00:00 AM,Cyberattack,03/01/2018 12:00:00 AM,04/01/2018 12:00:00 AM,Brinker International (Chilis),9574,Malware,,Business,Hospitality,2018,2018,Unknown,1-99,0,71,71,false,31,40,false,7,1-99
05/01/2018 12:00:00 AM,06/23/2018 12:00:00 AM,Cyberattack,05/01/2018 12:00:00 AM,05/01/2018 12:00:00 AM,"Terteling Company, Inc.",9576,Phishing,941,Business,Construction,2018,2018,500-999,0,0,0,0,true,0,,true,53,0
06/20/2018 12:00:00 AM,06/29/2018 12:00:00 AM,Unauthorized Access,,,Northwest University,9577,,1434,Education,,2018,2018,"1,000-9,999",Unknown,,,,false,,,false,9,Unknown
06/11/2018 12:00:00 AM,07/01/2018 12:00:00 AM,Cyberattack,04/26/2018 12:00:00 AM,06/12/2018 12:00:00 AM,"Macy's, Inc.",9578,,3564,Business,Retail,2018,2018,"1,000-9,999",1-99,1,46,47,true,47,,false,20,1-99
04/11/2018 12:00:00 AM,07/06/2018 12:00:00 AM,Cyberattack,,,International Mission Board,9579,,992,Non-Profit/Charity,,2018,2018,500-999,Unknown,,,,false,,,false,86,Unknown
05/11/2018 12:00:00 AM,07/12/2018 12:00:00 AM,Cyberattack,05/11/2018 12:00:00 AM,,Overlake Arthritis and Osteoporosis Center,9581,Malware,627,Health,,2018,2018,500-999,Unknown,,0,,false,,,false,62,Unknown
05/30/2015 12:00:00 AM,08/11/2015 12:00:00 AM,Theft or Mistake,05/29/2015 12:00:00 AM,05/29/2015 12:00:00 AM,Sterling BackCheck,9582,,1419,Business,Human Resources,2016,2016,"1,000-9,999",1-99,0,1,1,false,0,1,false,73,0
08/13/2015 12:00:00 AM,08/18/2015 12:00:00 AM,Cyberattack,,,Web.com Group,9583,,1595,Business,Web Services,2016,2016,"1,000-9,999",Unknown,,,,false,,,false,5,Unknown
08/05/2015 12:00:00 AM,09/09/2015 12:00:00 AM,Cyberattack,12/23/2013 12:00:00 AM,,The Lifetime Healthcare Companies,9585,,,Health,,2016,2016,Unknown,Unknown,,590,,false,,,false,35,Unknown
07/17/2015 12:00:00 AM,09/22/2015 12:00:00 AM,Unauthorized Access,06/19/2014 12:00:00 AM,07/15/2015 12:00:00 AM,Costco,9587,,29425,Business,Retail,2016,2016,"10,000-49,999",300-399,0,393,393,false,391,2,false,67,300-399
08/23/2015 12:00:00 AM,09/26/2015 12:00:00 AM,Theft or Mistake,08/23/2015 12:00:00 AM,,"Sterbick & Associates, P.S.",9588,,500,Business,Legal,2016,2016,500-999,Unknown,,0,,false,,,false,34,Unknown
,09/29/2015 12:00:00 AM,Unauthorized Access,08/20/2014 12:00:00 AM,07/14/2015 12:00:00 AM,Rite Aid Corporation,9589,,2721,Business,Retail,2016,2016,"1,000-9,999",Unknown,,,,false,328,,false,,300-399
09/21/2015 12:00:00 AM,10/01/2015 12:00:00 AM,Unauthorized Access,09/15/2015 12:00:00 AM,,T-Mobile USA/Experian,9591,,328889,Business,Telecommunications,2016,2016,"50,000-999,999",Unknown,,6,,false,,,false,10,Unknown
03/17/2016 12:00:00 AM,11/11/2016 12:00:00 AM,Cyberattack,,,Charles Schwab,9653,Other,975,Finance,,2017,2017,500-999,Unknown,,,,false,,,false,239,Unknown
06/18/2015 12:00:00 AM,10/13/2015 12:00:00 AM,Cyberattack,03/24/2015 12:00:00 AM,05/20/2015 12:00:00 AM,"Service Systems Associates, Inc.",9594,Malware,,Business,Hospitality,2016,2016,Unknown,1-99,0,86,86,false,57,29,false,117,1-99
10/09/2015 12:00:00 AM,10/28/2015 12:00:00 AM,Cyberattack,04/19/2015 12:00:00 AM,09/30/2015 12:00:00 AM,"Digital Theatre, LLC",9595,Malware,3230,Business,Entertainment,2016,2016,"1,000-9,999",100-199,0,173,173,false,164,9,false,19,100-199
,11/13/2015 12:00:00 AM,Cyberattack,12/29/2014 12:00:00 AM,08/11/2015 12:00:00 AM,Noble House Hotels and Resorts,9597,Malware,4555,Business,Hospitality,2016,2016,"1,000-9,999",Unknown,,,,false,225,,false,,200-299
02/10/2015 12:00:00 AM,11/24/2015 12:00:00 AM,Cyberattack,,,"Hilton Worldwide, Inc.",9598,Malware,,Business,Hospitality,2016,2016,Unknown,Unknown,,,,false,,,false,287,Unknown
,11/30/2015 12:00:00 AM,Cyberattack,01/22/2015 12:00:00 AM,07/20/2015 12:00:00 AM,Muji,9599,Malware,664,Business,Retail,2016,2016,500-999,Unknown,,,,false,179,,false,,100-199
08/04/2015 12:00:00 AM,12/18/2015 12:00:00 AM,Unauthorized Access,07/15/2014 12:00:00 AM,08/05/2014 12:00:00 AM,"Yapstone, Inc.",9601,,5264,Business,Web Services,2016,2016,"1,000-9,999",300-399,0,385,385,false,21,364,false,136,1-99
12/07/2015 12:00:00 AM,12/23/2015 12:00:00 AM,Theft or Mistake,11/09/2015 12:00:00 AM,,"Matson Navigation Company, Inc. and Horizon Lines",9602,,2185,Business,Shipping,2016,2016,"1,000-9,999",Unknown,,28,,false,,,false,16,Unknown
12/10/2015 12:00:00 AM,01/13/2016 12:00:00 AM,Unauthorized Access,12/07/2015 12:00:00 AM,12/08/2015 12:00:00 AM,HSBC Bank USA,9604,,5270,Finance,,2016,2016,"1,000-9,999",1-99,0,3,3,false,1,2,false,34,1-99
11/24/2015 12:00:00 AM,01/14/2016 12:00:00 AM,Cyberattack,08/13/2015 12:00:00 AM,12/08/2015 12:00:00 AM,Hyatt Hotels Corporation,9605,Malware,15,Business,Hospitality,2016,2016,< 500,100-199,14,103,117,true,117,,false,51,100-199
07/07/2017 12:00:00 AM,10/12/2017 12:00:00 AM,Cyberattack,03/18/2017 12:00:00 AM,07/02/2017 12:00:00 AM,Hyatt Hotels Corporation,10499,Skimmers,640,Business,Hospitality,2018,2018,500-999,100-199,0,111,111,false,106,5,false,97,100-199
,01/22/2016 12:00:00 AM,Cyberattack,,,Starwood Hotels and Resorts,9607,Malware,,Business,Hospitality,2016,2016,Unknown,Unknown,,,,false,,,false,,Unknown
12/03/2015 12:00:00 AM,01/29/2016 12:00:00 AM,Cyberattack,05/04/2014 12:00:00 AM,12/03/2015 12:00:00 AM,"Landry's, Inc.",9608,Skimmers,,Business,Hospitality,2016,2016,Unknown,500+,0,578,578,true,578,,true,57,500+
,02/04/2016 12:00:00 AM,Unauthorized Access,10/03/2015 12:00:00 AM,12/18/2015 12:00:00 AM,"Gyft, Inc.",9609,,9042,Business,Retail,2016,2016,"1,000-9,999",Unknown,,,,false,76,,false,,1-99
